"Laikotarpis","Rodiklis","Pajamų, sąnaudų, pelno sudedamosios dalys","Ekonominės veiklos rūšis (EVRK 2 red., 2 ženklų lygiu)","Matavimo vienetai","Reikšmė"
"2009K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","22306"
"2009K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","15259"
"2010K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","9252"
"2010K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","11941"
"2010K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","13808"
"2010K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","10699"
"2011K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","10779"
"2011K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","13594"
"2011K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","13214"
"2011K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","12652"
"2012K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","5961"
"2012K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","12687"
"2012K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","4227"
"2012K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","8240"
"2013K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","5043"
"2013K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","7676"
"2013K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","9080"
"2013K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","16925"
"2014K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","16275"
"2014K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","30496"
"2014K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","44827"
"2014K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","44862"
"2015K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","13104"
"2015K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","18331"
"2015K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","33009"
"2015K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","16979"
"2016K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","19770"
"2016K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","14739"
